;reviewId;userName;userImage;content;score;thumbsUpCount;reviewCreatedVersion;at;replyContent;repliedAt
14;gp:AOqpTOEd_aW0llnI30KZnpwBvRVndML-mNsCPSBcFcfpp3vS3h4UZMsIYRUO2XOyoFA7jl1CWLys84M8QFB9rA;Alan Carlos;https://play-lh.googleusercontent.com/a-/AOh14GgRITpQeiy1PY8kXzRsF2fZVrFqB3QsuCLCqGjUFQ;Flamengooooo⚫🔴⚫🔴⚫;5;0;10.154.2;2021-04-28 00:51:36;;
15;gp:AOqpTOFZ5D45V2yKGIbIKMhIefZ_XXTO7yx0jelzjALynQYmd-C7qoZFJSdxkn0GKj9rxF6apbmJMV-TupHr1w;Dani Crisostomo;https://play-lh.googleusercontent.com/a-/AOh14GgbrXsAoLvIPUCd6UHmhJlwgnmL8zXOkVxKRdG4ZA;Ótimo plataforma para compras.;5;0;10.154.2;2021-04-28 00:51:32;;
16;gp:AOqpTOH7gKd31QGaWwJPh9EeM30q03cucqmeCqvoxxOlzp5ZjHxsyHUtHDhb8h45GmJVYAVwJrHL_aNXatU-bQ;Wanderson Santos;https://play-lh.googleusercontent.com/a-/AOh14GitlWxPc2OPN5MEud3Xwa_kWe-zd5vJUSQA_j1I;só dou uma estreka porqie não tem como ďar nenhuma não consigo conectar a minha conta;1;0;;2021-04-28 00:50:22;;
17;gp:AOqpTOHJIKZBY1IR74Vh4ISORkPLSlu0xYrabraux1Tr9znebdupG7jNQzCNrlgQDQwyaMyU7Fxbxc2yGBw-Hw;Davi Raridades 2020;https://play-lh.googleusercontent.com/a-/AOh14GhO5SLaNX3Xzqhuk48SSJFDazXaPUxyMAqGKQ3g;Melhor local de compra até o momento Seguro e garantia de entrega do produto parabéns;5;0;10.156.2;2021-04-28 00:50:20;;
18;gp:AOqpTOFVTEa5jmWl5StxpIIywzyLT2Bzxr4dvVSndjZ31CYZlLJcyfDk3bE-zft8_jgY0aIJ3hlUFdDKbn_xyA;Carol Oliver;https://play-lh.googleusercontent.com/-zYeP3La5LRo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckzbfvxnXuzmo3doc9hbN8Kz4rYxA/photo.jpg;Top;5;0;;2021-04-28 00:48:05;;
19;gp:AOqpTOEhEtXBadbW9Xpfn-VaET9Y7GFApZcrqZBbf06qBO4wpqLugcQSoLrfgrI-XyVmcNDP4sdo5q5l-Cj44Q;Jéssica Rizzato;https://play-lh.googleusercontent.com/-5iOWhinJW3I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckgfngL64wIlQ6ptehCVtsS62gguw/photo.jpg;Sempre minha compra chega na data prevista, amo fazer minhas compras pelo app do Mercado Livre ❤️;5;0;10.154.2;2021-04-28 00:47:48;;
20;gp:AOqpTOEHshxVXbjMGx68Ap0_4KnsSK2m3HIHMyRzmJLNhc0NGE-wFdUGVgJxmEa0d9FModJWIVtp50dL6lJX8Q;Wellington 2935;https://play-lh.googleusercontent.com/a-/AOh14Gg8L-zAh4AOEos9USkcxGQMeuDUvrCm_YNjT-TxdU0;Muito bom.;5;0;10.154.2;2021-04-28 00:47:34;;
21;gp:AOqpTOFjfAeZuzwdcW5nk7TE3LRQYbJ4H7OBrgmd5PERT7OpjN8ZpWVv5xOkyLNHSGebFYdzb--9CQtoUIiPBA;Camila Saia;https://play-lh.googleusercontent.com/-EBhm4gyFE0o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckL0bCuCUJNxOxXhkkN0-7hDb43ig/photo.jpg;Quero quero voltar a comprar como que eu faço para fazer a suspensão porque foi feita a suspensão se eu fiz tudo certinho;3;0;10.154.2;2021-04-28 00:45:53;;
22;gp:AOqpTOH50PH-zSj08psKdoqlTTMBJVrw-v1HAiLHoVWexLzGGgBA8t7qbg9wOf7HGOxmEnpCk4wK4JcklxPTiQ;Aline Lopes;https://play-lh.googleusercontent.com/-6_tSkPMmyJo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnaaBBa4_XSJLSt8KXLmQoVcIZB8g/photo.jpg;Resolve rápido;5;0;;2021-04-28 00:44:48;;
23;gp:AOqpTOGIAwKz2B4qll00hFE-vxazzQUV1gO03EFRhY8OtuQItjKhHRLeEi_EelCoyKKOeuD1lVSg3heswCOwKQ;Anderson Willian;https://play-lh.googleusercontent.com/-r-z_UehBxCU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnB5EP-1QJGGfxiTRwWzTL3bFxwBg/photo.jpg;Muito bom;5;0;10.154.2;2021-04-28 00:43:51;;
